customer_id,latitude,longitude,demand,start_hour,end_hour
C106,17.589699,78.697966,9,10,18
C107,17.340366,78.258534,16,8,15
C108,17.534786,78.633434,10,13,18
C109,17.289031,78.398326,6,12,18
C110,17.233935,78.69332,20,12,14
C111,17.552144,78.318343,11,8,18
C112,17.501351,78.38813,23,12,17
C113,17.423362,78.412111,23,13,16
C114,17.301473,78.402601,24,11,18
C115,17.529116,78.572106,7,12,17
C116,17.584869,78.387435,21,8,14
C117,17.289438,78.681611,16,12,18
C118,17.217264,78.645572,26,12,16
C119,17.567646,78.326495,23,11,14
C120,17.409239,78.514699,18,8,18
C121,17.47877,78.392101,27,8,16
C122,17.312385,78.675206,12,13,17
C123,17.242702,78.36783,8,9,15
C124,17.291758,78.332969,9,8,17
C125,17.594484,78.549081,21,8,14
C126,17.364483,78.501391,20,12,18
C127,17.564371,78.611269,22,10,18
C128,17.445366,78.409122,28,13,15
C129,17.420635,78.282417,28,8,19
C130,17.524221,78.693638,21,10,18
C131,17.499831,78.396495,21,12,14
C132,17.387477,78.40741,5,12,19
C133,17.476686,78.467173,9,13,16
C134,17.422173,78.584494,9,9,15
C135,17.35114,78.320542,13,13,14
C136,17.58162,78.503087,5,8,15
C137,17.343265,78.256779,6,13,19
C138,17.532549,78.353889,5,13,17
C139,17.424375,78.638327,29,8,18
C140,17.448124,78.55204,23,13,17
C141,17.592185,78.504044,22,13,16
C142,17.236401,78.563199,29,13,14
C143,17.513461,78.398271,27,9,16
C144,17.479057,78.598236,14,8,15
C145,17.507567,78.233118,9,9,19
C146,17.397047,78.364376,15,10,16
C147,17.230345,78.26444,27,10,19
C148,17.479067,78.290034,8,8,16
C149,17.549727,78.457618,22,12,15
C150,17.28954,78.610895,22,11,15
C151,17.270804,78.244351,5,12,14
C152,17.342397,78.647109,21,13,15
C153,17.476158,78.219656,29,8,19
C154,17.232704,78.636789,20,12,14
C155,17.310751,78.603101,21,10,18
C156,17.594503,78.468295,28,13,19
C157,17.447302,78.384457,28,9,18
C158,17.224937,78.27387,23,10,19
C159,17.499846,78.215236,22,9,19
C160,17.413047,78.321235,29,12,17
C161,17.208028,78.36104,11,13,15
C162,17.414134,78.316608,17,11,14
C163,17.471641,78.594586,17,9,17
C164,17.414843,78.493421,12,8,17
C165,17.251032,78.341888,10,11,15
C166,17.443022,78.322177,17,13,18
C167,17.573477,78.203767,25,13,19
C168,17.298383,78.280341,15,13,19
C169,17.522346,78.227827,13,10,16
C170,17.207297,78.548481,28,13,15
C171,17.430399,78.658698,19,13,19
C172,17.303161,78.285444,23,13,14
C173,17.487383,78.467518,23,12,17
C174,17.282031,78.683997,8,10,17
C175,17.403044,78.321205,19,8,15
C176,17.507112,78.243645,15,11,18
C177,17.413036,78.225912,22,9,18
C178,17.22535,78.69498,17,9,17
C179,17.301856,78.540751,21,8,16
C180,17.389266,78.503051,7,13,14
C181,17.540291,78.572987,22,13,18
C182,17.492347,78.66917,16,10,16
C183,17.57058,78.560798,12,10,14
C184,17.500201,78.599769,7,12,18
C185,17.52583,78.532599,8,8,18
C186,17.435323,78.541491,12,13,16
C187,17.449641,78.469891,19,8,14
C188,17.342145,78.395741,6,13,18
C189,17.562589,78.512119,23,13,19
C190,17.333126,78.565275,14,11,18
C191,17.398169,78.57073,8,12,19
C192,17.500961,78.55349,27,8,19
C193,17.281818,78.557032,9,10,15
C194,17.336833,78.610629,19,11,18
C195,17.250995,78.398644,12,12,18
C196,17.291701,78.561126,6,10,16
C197,17.477579,78.471362,15,10,18
C198,17.53072,78.679537,12,13,19
C199,17.360341,78.431003,18,10,17
C200,17.564741,78.269558,22,8,14
C201,17.207244,78.636062,16,11,17
C202,17.5675,78.595042,9,9,14
C203,17.430515,78.503358,26,10,18
C204,17.241699,78.62022,15,8,19
C205,17.294362,78.28276,8,13,14
C206,17.332859,78.355722,23,12,14
C207,17.4977,78.30279,29,12,15
C208,17.3334,78.399084,29,9,16
C209,17.569184,78.43285,6,10,14
C210,17.434827,78.216423,23,13,14
C211,17.399347,78.409463,28,8,14
C212,17.512198,78.338794,22,12,14
C213,17.271214,78.680535,21,11,19
C214,17.544253,78.467535,12,8,14
C215,17.323975,78.398659,23,10,16
C216,17.339755,78.434116,21,12,18
C217,17.388827,78.482421,22,8,19
C218,17.485624,78.463824,26,11,14
C219,17.360305,78.47982,8,8,18
C220,17.230201,78.576623,14,9,16
C221,17.4576,78.404367,27,11,15
C222,17.546798,78.403992,29,10,16
C223,17.402203,78.497524,29,12,16
C224,17.554984,78.478361,12,9,16
C225,17.297269,78.561133,28,13,16
C226,17.58506,78.672205,26,12,19
C227,17.317259,78.648168,11,9,14
C228,17.283155,78.213266,23,11,18
C229,17.36857,78.646336,19,12,17
C230,17.334346,78.612554,7,11,17
C231,17.44966,78.404706,13,9,18
C232,17.317786,78.674227,26,11,14
C233,17.547387,78.443716,18,8,15
C234,17.208988,78.334339,12,9,18
C235,17.36102,78.309012,26,10,19
C236,17.593761,78.462845,17,9,18
C237,17.207356,78.657149,25,9,17
C238,17.399236,78.233588,9,8,19
C239,17.531897,78.303211,14,13,18
C240,17.305474,78.333249,12,9,17
C241,17.453239,78.447137,14,12,14
C242,17.367508,78.391569,18,9,17
C243,17.583451,78.292185,25,11,16
C244,17.29814,78.394648,12,10,17
C245,17.487618,78.348561,7,13,15
C246,17.35866,78.677043,26,12,14
C247,17.307964,78.469921,23,10,17
C248,17.22057,78.448183,17,10,15
C249,17.449333,78.437119,13,8,14
C250,17.365117,78.552463,12,9,14
C251,17.298561,78.609551,9,11,17
C252,17.58708,78.202627,16,10,18
C253,17.236633,78.658657,21,9,14
C254,17.378402,78.292566,20,10,18
C255,17.503614,78.562052,20,13,14
C256,17.561346,78.523332,13,12,15
C257,17.215771,78.552788,11,8,15
C258,17.427178,78.657744,18,12,14
C259,17.27704,78.257641,27,12,15
C260,17.498026,78.227441,7,9,16
C261,17.531566,78.218504,28,10,17
C262,17.248227,78.238477,9,10,15
C263,17.489907,78.232678,19,8,17
C264,17.516289,78.359376,22,8,18
C265,17.446345,78.31648,27,10,15
C266,17.596137,78.200119,17,12,15
C267,17.575627,78.599392,11,13,17
C268,17.221074,78.244272,25,11,14
C269,17.432303,78.335843,29,9,19
C270,17.367107,78.410679,9,8,19
C271,17.201339,78.433655,28,13,15
C272,17.318523,78.316804,29,8,18
C273,17.595089,78.413887,21,8,17
C274,17.287302,78.674981,9,10,17
C275,17.367032,78.639559,18,10,19
C276,17.445365,78.283517,24,11,16
C277,17.360632,78.618913,26,12,16
C278,17.405075,78.315335,6,8,15
C279,17.214693,78.678635,28,13,18
C280,17.223137,78.684551,21,8,16
C281,17.43891,78.462516,14,10,15
C282,17.396475,78.698168,7,10,19
C283,17.449175,78.573936,29,8,17
C284,17.432034,78.245743,13,10,16
C285,17.251806,78.644374,29,9,17
C286,17.214169,78.364526,29,12,16
C287,17.234795,78.404227,19,13,16
C288,17.489368,78.447938,10,12,17
C289,17.243788,78.64724,17,8,15
C290,17.398059,78.440293,23,9,16
C291,17.339124,78.539008,17,12,14
C292,17.551452,78.598713,12,11,14
C293,17.262936,78.2802,17,10,18
C294,17.478989,78.54007,10,11,18
C295,17.552348,78.635922,23,9,15
C296,17.527979,78.314313,11,9,17
C297,17.422473,78.578318,16,9,18
C298,17.446771,78.690593,21,9,17
C299,17.203629,78.60934,20,13,16
C300,17.504411,78.470633,6,11,17
C301,17.271799,78.576849,26,11,17
C302,17.475154,78.233919,21,11,19
C303,17.483429,78.436787,26,9,16
C304,17.540966,78.695074,19,12,17
C305,17.499861,78.265043,16,12,16
C306,17.528605,78.385917,23,10,15
C307,17.200412,78.279469,6,12,17
C308,17.370473,78.425694,11,12,18
C309,17.31935,78.619974,19,13,17
C310,17.461804,78.33663,21,13,17
C311,17.212521,78.565635,19,12,16
C312,17.585808,78.580047,9,10,16
C313,17.363734,78.64705,19,9,18
C314,17.280144,78.634061,28,11,15
C315,17.545743,78.436605,12,11,19
C316,17.28148,78.245582,12,10,19
C317,17.412142,78.208931,16,12,17
C318,17.587005,78.292729,19,8,19
C319,17.246923,78.262593,16,11,17
C320,17.423365,78.31277,26,13,18
C321,17.307597,78.59878,15,12,14
C322,17.204648,78.236223,22,13,19
C323,17.316665,78.547491,5,11,19
C324,17.563127,78.562143,23,8,14
C325,17.241117,78.485452,19,13,19
C326,17.28414,78.373008,12,9,17
C327,17.228967,78.467121,13,12,19
C328,17.213281,78.239289,26,9,19
C329,17.427016,78.544732,22,9,15
C330,17.266993,78.252284,15,12,16
C331,17.558489,78.497388,13,8,15
C332,17.574081,78.673675,24,13,16
C333,17.393759,78.53041,20,11,19
C334,17.526919,78.426159,7,8,17
C335,17.492636,78.240815,26,11,17
C336,17.263818,78.635892,23,13,17
C337,17.497712,78.635916,25,10,17
C338,17.422145,78.559601,26,12,14
C339,17.397311,78.240763,23,10,18
C340,17.228879,78.215326,5,11,14
C341,17.547309,78.563585,28,11,18
C342,17.338374,78.385519,24,11,15
C343,17.546813,78.489338,8,9,18
C344,17.358206,78.503094,19,9,17
C345,17.368688,78.338414,23,9,19
C346,17.34366,78.391924,22,12,14
C347,17.252627,78.557912,20,13,15
C348,17.295017,78.685698,27,12,18
C349,17.227653,78.418583,26,11,18
C350,17.378122,78.457409,29,11,15
C351,17.238105,78.526062,29,8,17
C352,17.303253,78.528368,5,11,17
C353,17.587928,78.426895,15,9,16
C354,17.37681,78.365445,14,11,19
C355,17.258303,78.424717,12,10,17
C356,17.482711,78.283521,24,11,14
C357,17.442215,78.378366,16,12,14
C358,17.537668,78.602835,19,13,17
C359,17.415962,78.217094,18,9,14
C360,17.412468,78.668303,5,10,19
C361,17.272004,78.244278,5,8,16
C362,17.216629,78.274172,25,9,16
C363,17.201976,78.675906,22,12,14
C364,17.432045,78.327112,15,9,17
C365,17.412898,78.262871,17,11,15
C366,17.280741,78.536716,22,12,14
C367,17.492332,78.278082,10,12,19
C368,17.302123,78.530816,27,9,16
C369,17.473299,78.448587,21,9,14
C370,17.212155,78.665474,18,11,14
C371,17.440244,78.670438,18,12,18
C372,17.430874,78.374287,6,9,19
C373,17.327245,78.633219,29,12,14
C374,17.236193,78.344343,15,11,15
C375,17.361656,78.363517,10,10,19
C376,17.56055,78.638946,27,10,18
C377,17.527134,78.260105,26,8,18
C378,17.329834,78.383231,11,12,16
C379,17.355423,78.424347,21,8,16
C380,17.290908,78.236598,7,13,19
C381,17.447796,78.431747,7,12,15
C382,17.580591,78.623584,25,12,15
C383,17.243567,78.274496,20,12,17
C384,17.390678,78.397183,27,13,19
C385,17.487249,78.677762,17,12,16
C386,17.203025,78.523737,19,8,17
C387,17.570814,78.230134,25,12,19
C388,17.277823,78.283166,8,12,17
C389,17.468038,78.664803,7,9,17
C390,17.487054,78.399953,17,11,15
C391,17.248754,78.290575,16,9,18
C392,17.273834,78.347639,21,9,18
C393,17.302625,78.681463,8,13,19
C394,17.420091,78.221706,14,10,18
C395,17.440645,78.609594,26,11,14
C396,17.517498,78.523303,28,9,14
C397,17.535945,78.650012,20,8,15
C398,17.302258,78.35103,28,10,17
C399,17.369495,78.533775,22,10,17
C400,17.259882,78.411972,9,8,16
C401,17.547704,78.436446,25,8,19
C402,17.209455,78.520986,11,10,15
C403,17.302754,78.516008,29,13,14
C404,17.595114,78.26822,25,9,16
C405,17.377087,78.422895,13,8,16
C406,17.596502,78.264197,23,11,15
C407,17.334891,78.652762,17,13,17
C408,17.234263,78.647095,7,8,14
C409,17.290663,78.377498,8,12,14
C410,17.532745,78.534801,16,10,18
C411,17.308459,78.496406,7,13,17
C412,17.329734,78.366501,10,9,17
C413,17.464736,78.478892,6,13,17
C414,17.224057,78.481148,8,12,18
C415,17.453984,78.577419,27,9,19
C416,17.369076,78.610903,16,8,17
C417,17.592495,78.437443,17,11,16
C418,17.260966,78.696242,12,11,14
C419,17.536813,78.460479,10,13,15
C420,17.515161,78.632343,25,11,19
C421,17.263722,78.231555,8,8,15
C422,17.33667,78.390455,6,10,14
C423,17.421521,78.352762,24,13,15
C424,17.440238,78.45784,7,13,16
C425,17.429835,78.483288,24,9,17
C426,17.572238,78.258183,22,12,16
C427,17.469722,78.466241,18,13,16
C428,17.516012,78.35234,13,12,16
C429,17.26941,78.547476,22,13,17
C430,17.429217,78.666365,6,8,18
C431,17.544806,78.661379,18,8,19
C432,17.559305,78.614666,24,10,16
C433,17.359465,78.273187,25,9,18
C434,17.210325,78.267583,8,12,17
C435,17.510689,78.261018,17,13,17
C436,17.375805,78.252832,10,12,16
C437,17.447835,78.525101,23,10,18
C438,17.512305,78.4299,6,13,16
C439,17.501701,78.509749,19,8,16
C440,17.268266,78.237315,18,10,17
C441,17.447221,78.516595,12,8,18
C442,17.446088,78.353127,24,11,17
C443,17.539206,78.562159,9,11,19
C444,17.46163,78.377118,26,13,18
C445,17.354832,78.681911,27,9,19
C446,17.392538,78.209596,19,12,15
C447,17.47239,78.294847,9,8,18
C448,17.204848,78.320601,25,12,15
C449,17.225847,78.221317,21,10,14
C450,17.419184,78.427189,24,12,15
C451,17.25088,78.63233,20,11,15
C452,17.390407,78.387944,24,12,19
C453,17.356957,78.678111,21,8,14
C454,17.463477,78.671416,6,11,18
C455,17.311747,78.665159,12,12,17
C456,17.454881,78.529677,26,8,14
C457,17.226661,78.459204,23,12,17
C458,17.404889,78.540114,17,8,16
C459,17.463614,78.601065,7,8,18
C460,17.403432,78.393798,18,11,16
C461,17.5883,78.671158,23,11,16
C462,17.269644,78.249198,26,9,19
C463,17.233047,78.457329,21,8,14
C464,17.352776,78.302844,21,11,19
C465,17.304285,78.234627,29,9,19
C466,17.558326,78.361108,8,11,16
C467,17.591988,78.500941,25,11,15
C468,17.251238,78.369134,12,9,14
C469,17.348867,78.416038,29,9,19
C470,17.309517,78.664159,16,10,19
C471,17.205086,78.696208,27,8,17
C472,17.567571,78.326121,17,13,18
C473,17.591359,78.574096,18,11,16
C474,17.328024,78.576594,29,13,17
C475,17.217269,78.282407,25,11,16
C476,17.586052,78.444197,27,11,18
C477,17.365367,78.579093,5,10,19
C478,17.426009,78.544443,11,11,14
C479,17.504449,78.280036,14,9,14
C480,17.496685,78.640725,8,10,15
C481,17.463024,78.355464,25,13,16
C482,17.27521,78.377692,17,8,17
C483,17.409664,78.624024,26,11,14
C484,17.204413,78.574773,25,8,17
C485,17.330773,78.274444,27,13,16
C486,17.598534,78.384155,8,11,15
C487,17.554478,78.496522,9,13,18
C488,17.200752,78.289186,14,13,19
C489,17.342197,78.597099,24,8,17
C490,17.404044,78.561702,9,9,17
C491,17.424264,78.501744,6,13,15
C492,17.440858,78.211466,23,8,19
C493,17.2596,78.547708,16,13,15
C494,17.483072,78.594307,23,12,17
C495,17.248951,78.567753,5,9,17
C496,17.225017,78.600683,19,10,14
C497,17.573245,78.521283,21,13,17
C498,17.398467,78.289126,19,13,19
C499,17.498888,78.569993,20,12,14
C500,17.42622,78.689823,7,12,16
